Created-At,From-User,Text,Retweet-Count,Id
12/23/2020 9:41:00 PM,IG: Merapi Uncover,"Dulu Dikala awal2 status Merapi siaga, Masy rentan KRB 3 byk yg mengungsi
Kini beberapa Bulan Status Merapi siaga, pengungsi byk yg pulang

Dulu dikala Covid 19 jauh, PSSB Ketat
Kini Covid 19 dekat, PSBB Longgar

Dulu yg pernah di Hati , kini beralih profesi jadi penonton story'",14,1341755700691680000
12/23/2020 9:15:00 PM,Sonny RS ??,"RT @Kel_KarKun: Satgas Covid-19 Kelurahan Karet Kuningan melaksanakan giat monitoring PSBB dan Operasi Tertib Masker Jl. Anggrek IV RW 02
R…",1,1341749239936740000
12/23/2020 8:46:00 PM,?LaskarDagelan?,"@SintaElvhee2_ Covid lanjuttt ?
PSBB lanjuuett ??? https://t.co/xWuTYL0FEy",0,1341741864970420000
12/23/2020 7:57:00 PM,Kelurahan Karet Kuningan,"Satgas Covid-19 Kelurahan Karet Kuningan melaksanakan giat monitoring PSBB dan Operasi Tertib Masker Jl. Anggrek IV RW 02
Rabu, 23 Desember 2020
Pandemi Covid-19 belum berakhir,yuk tetap disiplin melakukan 3M:
1. Memakai Masker
2. Mencuci Tangan pakai Sabun
3. Menjaga Jarak https://t.co/xNrQMNUXdn",1,1341729665694590000
12/23/2020 7:26:00 PM,LIPUTAN4.COM,"Penularan Covid-19 Kian Masif, Pemkot Makassar Kembali Terapkan PSBB? https://t.co/NHf8Oum5dh",0,1341721736170100000
12/23/2020 7:14:00 PM,dinaituakulo,"@Indonesianews15 Pantesannn..inkubasi di perpanjang kayak psbb dki..udah 22 hari masih positif covid wan bacot
Setres dia kak emaaaaaaaa
?????",0,1341718849314410000
12/23/2020 5:59:00 PM,Aldyi Ramadhan,@joyobadik_ Woalah psbb.. yoo itu bis bis pariwisata mbok dihadang tom suruh pulang.. bikin ga selesai” covid,0,1341700059201560000
12/23/2020 5:35:00 PM,Dharma212,RT @PDemokrat: Ketua Komisi bidang Pemerintahan DPRD DKI Jakarta @RAMujiyono menyarankan Pemerintah DKI untuk segera menarik rem darurat me…,2,1341694002706350000
12/23/2020 3:59:00 PM,DKI Jakarta,"#RS Rujukan Covid-19 di Jakarta Hampir Penuh, Epidemiolog: Batasi Mobilitas Orang, Bukan PSBB - https://t.co/qToxxSpDyI - Megapolitan https://t.co/qToxxSpDyI #DKIJakarta",0,1341669675512560000
12/23/2020 3:59:00 PM,DKI Jakarta,#PSBB Transisi di Jakarta Dianggap Tak Efektif Seiring Meroketnya Kasus Covid-19 - https://t.co/qToxxSpDyI - Megapolitan https://t.co/qToxxSpDyI #DKIJakarta,0,1341669666125740000
12/23/2020 2:47:00 PM,Partai Demokrat,"Ketua Komisi bidang Pemerintahan DPRD DKI Jakarta @RAMujiyono menyarankan Pemerintah DKI untuk segera menarik rem darurat memperketat Pembatasan Sosial Berskala Besar atau PSBB, sebelum semua indikator penularan Covid-19 lebih kritis lagi.

https://t.co/FBJs9N4OOf",2,1341651563920550000
12/23/2020 12:52:00 PM,1/2,"giliran mahasiswa mulai rencana masuk kampus, kalkulasi covid & pemberlakuan psbb pada gerombolan nongolnye. Wah, coronces menang banyak neh kemaren",0,1341622772670160000
12/23/2020 12:44:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT TIM PEMBURU COVID-19  DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SH PA PENGENDALI IPDA WAHYU WIBOWO SH KANIT INTELKAM…,1,1341620586657640000
12/23/2020 12:43:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT OPS YUSTISI OLEH TIM PEMBURU COVID-19 BERSAMA UNSUR TIGA PILAR DIMASA PSBB DALAM RANGKA MEMUTUS MATA RANTAI PENULAR…,1,1341620540776180000
12/23/2020 12:43:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT OPS YUSTISI OLEH TIM PEMBURU COVID-19 BERSAMA UNSUR TIGA PILAR  DIMASA PSBB DALAM RANGKA MEMUTUS MATA RANTAI PENULA…,1,1341620437713710000
12/23/2020 12:43:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT TIM PEMBURU COVID-19 DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SI DIDAMPINGI PA PENGENDALI IPDA WAHYU WIBOWO SH KANI…,1,1341620381178760000
12/23/2020 12:43:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT TIM PEMBURU COVID-19  DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SH DIDAMPINGI PA PENGENDALI IPDA WAHYU WIBOWO SH KAN…,1,1341620319618880000
12/23/2020 12:42:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT TIM PEMBURU COVID-19  DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SH DIDAMPINGI MATRA 201 IPDA WAHYU WIBOWO SH KANIT I…,1,1341620218016110000
12/23/2020 12:42:00 PM,HUMAS_POLSEK_MATRAMAN,RT @HumasMatraman: GIAT PA PENGENDALI IPDA WAHYU WIBOWO SH KANIT INTELKAM POLSEK MATRAMAN MENDAMPINGI WAKAPOLSEK MATRAMAN AKP SUMARDI SH BE…,1,1341620078010250000
12/23/2020 12:11:00 PM,HUMAS_POLSEK_MATRAMAN,GIAT PA PENGENDALI IPDA WAHYU WIBOWO SH KANIT INTELKAM POLSEK MATRAMAN MENDAMPINGI WAKAPOLSEK MATRAMAN AKP SUMARDI SH BESERTA JAJARAN  DAN TIGA PILAR MELAKSANAKAN GIAT  HIMBAUAN PROTOKOL KESEHATAN COVID-19 DIMASA PSBB DENGAN ALAT PERAGA DI WILAYAH MATRAMAN https://t.co/CVvdDUsWp0,1,1341612303775460000
12/23/2020 12:08:00 PM,HUMAS_POLSEK_MATRAMAN,GIAT TIM PEMBURU COVID-19  DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SH DIDAMPINGI MATRA 201 IPDA WAHYU WIBOWO SH KANIT INTELKAM BESERTA ANGGOTA DAN UNSUR 3 PILAR SERTA PETUGAS PAMDAL MELAKSANAKAN PENDISIPLINAN PROKES KEPADA WARGA MASYARAKAT DIMASA PSBB DI PASAR PRAMUKA MATRAMAN https://t.co/0H6AM3kHW0,1,1341611639699690000
12/23/2020 12:03:00 PM,HUMAS_POLSEK_MATRAMAN,GIAT OPS YUSTISI OLEH TIM PEMBURU COVID-19 BERSAMA UNSUR TIGA PILAR DIMASA PSBB DALAM RANGKA MEMUTUS MATA RANTAI PENULARAN VIRUS  COVID 19 DI PASAR PALMERIAM MATRAMAN https://t.co/W6xiVHuxJS,1,1341610408340120000
12/23/2020 12:01:00 PM,HUMAS_POLSEK_MATRAMAN,GIAT TIM PEMBURU COVID-19  DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SH DIDAMPINGI PA PENGENDALI IPDA WAHYU WIBOWO SH KANIT INTELKAM POLSEK MATRAMAN   BESERTA ANGGOTA DAN UNSUR 3 PILAR MELAKSANAKAN PENDISIPLINAN PROKES KEPADA WARGA MASYARAKAT DIMASA PSBB DIPASAR PALMERIAM MATRAMAN https://t.co/sajjnXB71m,1,1341609841601610000
12/23/2020 11:59:00 AM,HUMAS_POLSEK_MATRAMAN,GIAT OPS YUSTISI OLEH TIM PEMBURU COVID-19 BERSAMA UNSUR TIGA PILAR  DIMASA PSBB DALAM RANGKA MEMUTUS MATA RANTAI PENULARAN VIRUS  COVID 19 DI PASAR JANGKRIK MATRAMAN https://t.co/SenfWGsdnn,1,1341609295696150000
12/23/2020 11:57:00 AM,HUMAS_POLSEK_MATRAMAN,GIAT TIM PEMBURU COVID-19  DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SH PA PENGENDALI IPDA WAHYU WIBOWO SH KANIT INTELKAM POLSEK MATRAMAN BESERTA ANGGOTA DAN UNSUR 3 PILAR MELAKSANAKAN PENDISIPLINAN PROKES KEPADA WARGA MASYARAKAT DI MASA PSBB DI PASAR JANGKRIK MATRAMAN https://t.co/aQv9fJ7VMV,1,1341608742580670000
12/23/2020 11:54:00 AM,HUMAS_POLSEK_MATRAMAN,GIAT TIM PEMBURU COVID-19 DIPIMPIN WAKAPOLSEK MATRAMAN AKP SUMARDI SI DIDAMPINGI PA PENGENDALI IPDA WAHYU WIBOWO SH KANIT INTELKAM  POLSEK MATRAMAN   BESERTA ANGGOTA DAN UNSUR 3 PILAR MELAKSANAKAN PENDISIPLINAN PROKES KEPADA WARGA MASYARAKAT DIMASA PSBB DI STASIUN K.A PONDOK JATI https://t.co/zke7ftJVWm,1,1341608157278130000
12/23/2020 11:35:00 AM,94.8 FM FIT Radio Bandung,"PMI Kota Bandung mengatakan tidak bisa menyimpan persediaan labu darah sepanjang pandemi COVID-19 berlangsung. Berkurangnya pendonor dan terbatasnya kegiatan serta operasional unit mobil transfusi darah, khususnya saat diberlakukan PSBB menjadi penyebabnya. #StayFitForLife https://t.co/xbtTNmk4Ws",0,1341603196276490000
12/23/2020 10:36:00 AM,KelurahanKebonJeruk,"Kegiatan Ronda Covid-19 PSBB di Lingkungan Rw 004 Kelurahan Kebon Jeruk Jakarta Barat.

@aniesbaswedan 
@BangAriza 
@BeritaJakarta 
@DKIJakarta 
@kominfotikjb
@KecKebonJeruk 
@LAPOR1708 
@JSCLounge 
@SatpolPP_DKI 
@infojkt 
@jktinformasi https://t.co/Wt5gMUfzCF",0,1341588339242100000
12/22/2020 10:15:00 PM,ali imran,"RT @Kanseulir: Jangan Karena Alasan Covid-19, Warga Bangsa Dibuat Mainan.

Tidakkah Kalian Ingat, Siapakah Pencetus PSBB Yang Gak Jelas Itu…",141,1341401953142770000
12/22/2020 9:30:00 PM,alim wijaya ismail,RT @drpriono1: Kebijakan Cuti Bersama - sudah beberapa kali diterapkan -  terbukti mendorong kenaikan pergerakan penduduk antar provinsi yg…,27,1341390624403170000
12/22/2020 9:11:00 PM,fajar derfa ramadhan,"@Ramadhanmario Isu reshuffle kabinet ieu eweuh dampakna siganamah ka market untuk hari ini, eleh saing ku berita covid. Soalna nu nyieun market drop/naik akhir akhir ieu ya tidak lain dan tidak bukan pembahasan terkait corona entah aya vaksin/psbb/kenaikan penderita dst",0,1341385917055940000
12/22/2020 8:44:00 PM,yudhiachmad,Moga moga covid segera berlalu dan takkan ada lagi psbb ya nggak,0,1341379146966990000
12/22/2020 7:51:00 PM,Donny A. Wiguna,"Akhirnya jalan yg dilakukan adalah PSBB. Dgn cara ini penularan diharapkan bisa dibatasi,

sementara, rakyat masih bisa berusaha, terutama yg jauh dari wilayah episentrum pandemi

sayangnya, publikasi pemahaman atas covid-19 sangat kurang dilakukan, orang menganggap enteng",0,1341365628947450000
12/22/2020 5:01:00 PM,Tiga Pilar News,"2 Pertambahan Kasus Positif Covid-19 Belum Tunjukkan Tanda-tanda Penurunan, DKI Perpanjang PSBB Transisi Hingga 3 Januari https://t.co/AQkcSm7dIN",0,1341322953506450000
12/22/2020 3:32:00 PM,Michinos Bot,RT @Pandaliciio: Efek kelamaan PSBB #Covid_19 #CatsOfTwitter #couplelove https://t.co/iE5ekRerjV,1,1341300446607120000
12/22/2020 3:03:00 PM,????Riiiiifka ????,"Sentimen ihsg today 
- reshuffle kabinet
- PSBB sampe awal januari
- mutasi covid 

News itu cuma bumbu. 
Real nya sih, bandar lagi distribusi. Transaksi antam sampe 1.3T wkwk, di dominasi bandar lokal ?
Luar biasaaa",0,1341293371130750000
12/22/2020 3:03:00 PM,Pandalicious,Efek kelamaan PSBB #Covid_19 #CatsOfTwitter #couplelove https://t.co/iE5ekRerjV,1,1341293299345180000
