Created-At,From-User,Source,Text,Retweet-Count,Id
12/25/2020 9:22:00 AM,Alief Putra,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@trioyudas1908 @kompascom @aniesbaswedan Bang Zevo, kayaknya uda ga usah capek² ladenin si trio yuda ini... dia fans @aniesbaswedan GarisKeras sampe uda ke tutup matanya thdp fakta, coba.. lagi psbb dia yg Larang berkerumun, dia jg yg dateng ke Petamburan buat sowan. Lucu ya?? pdhl si rizieq bukan pejabat publik",0,1342294732869780000
12/25/2020 9:15:00 AM,Wini,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,RT @IndosatOoredoo: Pandemi mengakibatkan pola perilaku masyarakat berubah. Hal ini dilakukan sebagai salah satu langkah pencegahan penyeba…,5,1342292781264360000
12/25/2020 9:10:00 AM,Info Depok,<a href='https://ifttt.com' rel='nofollow'>IFTTT</a>,"Ingat Guys Kita Masih PBB Karena Covid-19 Belum Selesai

Pemerintah Kota Depok kembali memperpanjang Pembatasan Sosial Berskala Besar (PSBB) Proporsional hingga 20 Januari 2021. Perpanjangan tersebut dikarenakan Kota Depok masih dalam kategori zona merah… https://t.co/bU86OdoIXh https://t.co/6zXYoTTStC",0,1342291530606900000
12/25/2020 9:07:00 AM,otistamelayu,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@elisa_jkt Testing rate rendah n psbb diserahkan msg2 daerah... then yg salah ttp masyarakat, okesip",0,1342290727720560000
12/25/2020 9:06:00 AM,Sidik Setiyadi,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@kompascom Sudah tahu  tapi Anda terus2an membatasi sementara Anda membebaskan boss Anda, HRS, merusak tatanan yg Anda buat sendiri....ayo dong PSBB dihentikan, penekanan pd disiplin prokes saja...",0,1342290484153130000
12/25/2020 9:04:00 AM,????,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,@handokotjung Apa? 2020? Corona? Sekolah online? Karantina? PSBB? Apa yang terjadi di 2020? Ku kira ini masih 2019. Selama ini kan aku rebahan dan vacum dari kejamnya dunia.,0,1342290006212300000
12/25/2020 8:54:00 AM,ARA-ssi?,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Gue tinggal dikomplek dimana mayoritasnya nasrani. Hari ini tetangga pada antar rantangan kerumah, alhamdulillah. Krn biasanya sebelum psbb, kami pst selalu berkunjung kerumah mereka yg merayakan. Bahagianya hidup rukun dan damai meskipun kita berbeda?",0,1342287465160160000
12/25/2020 8:52:00 AM,caca,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,@volimtemezelf oalah lgi psbb disana?,0,1342286982299320000
12/25/2020 8:51:00 AM,Schtolteheim Reinbach III,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,Ya ALLAH gw kangen ngerasain vibe main ACNH pas awal PSBB kmrn ?,0,1342286788853860000
12/25/2020 8:49:00 AM,"lupii?? ? | SENDER, FB WEY!",<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@sukasamasunwoo sama, tapi kalo pun bisa lagi psbb :))",0,1342286380009890000
12/25/2020 8:45:00 AM,Keisha Avelia,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Bosan Christmas Tidak Bisa Pergi?
Tidak ada kegiatan waktu christmas karena PSBB?

Gabung Di Situs PKV BonekaQQ
100% Christmas kalian tidak akan membosankan & akan menghasilkan uang tambahan bossku!

Link : bonekaqq,com
WA : 081296538312
Line : bonekaqq
https://t.co/gvmYCRSqBL https://t.co/NEHLqAymY0",0,1342285265943990000
12/25/2020 8:42:00 AM,BP@3.C.I,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"RT @auriga28th: @CNNIndonesia Mau tanya, yg kemaren nyelenggarain pemilu ditengah pandemi siapa ya? Yg katanya sesuai protokol kesehatan da…",1,1342284454945990000
12/25/2020 8:38:00 AM,Riston,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@Dennysiregar7 @prabowo @sandiuno @jokowi Kamu tau itu.bukan cara mengalahkan, artinya jokowi butuh pertolongan  tuk selamatkan negri dari kondisi saat ini, loe kerjanya membully terus, giliran loe dibully meraung. g gantle, wajar PSBB tidak lagi anggap loe dari bagian siregar.",0,1342283476800720000
12/25/2020 8:25:00 AM,Museum Seni Rupa dan Keramik,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"dan Mencuci tangan dengan sabun.

#liburakhirtahun
#PSBB
#COVID19 
#DKIJakarta
#museumsenijakarta",0,1342280361863090000
12/25/2020 8:24:00 AM,Ng Andre,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Natal di tengah pandemi
Natal tahun ini mungkin menjadi malam Natal yang paling berbeda. Aturan PSBB dan anjuran pemerintah untuk kita, agar tetap di rumah serta beribadah Natal secara online di rumah, agar kita terhindar dari wabah Covid-19.",0,1342280029535930000
12/25/2020 8:22:00 AM,Karimulsyah H.,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"PSBB again, mending jadi Titan aja",0,1342279393427640000
12/25/2020 8:21:00 AM,inisial F,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,kabeh do psbb agenda dibatalkan maleh raiso dolan,0,1342279263160950000
12/25/2020 8:14:00 AM,Mucle,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@Hespribook @CNNIndonesia Memang pilkada gak ikut, cuma memang masive tracingnya, dan memang psbb udah longgar banget, kalo pilkada itu yg nyebapin didaerah mulai meledak, contoh kemaren disulsel, 2 orang cakada kena covid, 1 meninggal, belum yg lain, kalo didki fasilitas bagus, daerah susah..",0,1342277502530510000
12/25/2020 8:12:00 AM,febunmer?MALANG,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,RT @CNNIndonesia: Peneliti Sebut PSBB Terbukti Turunkan 23 Persen Kasus Corona https://t.co/cVawGMkXAW,6,1342277030184780000
12/25/2020 8:04:00 AM,Yanda,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @IffahAlqadrie: ????

Masya'Allah Tabarakallah.. Keluarga Besar Marga Siregar (PSBB) Jabodetabek memberikan bantuan untuk keluarga 6 Las…",1,1342274921439800000
12/25/2020 7:56:00 AM,?????? ?,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,@nnyctophilee @holyshittos jgn ke bandung psbb sama curah hujan lg tinggi sering banjir,0,1342273057423950000
12/25/2020 7:47:00 AM,Sinaran,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"@Pandemi78579916 @bangyupi_006 @mohmahfudmd Penghasutan ? Bisa dijelaskan penghasutan yg bgm, apa sdh ada dampak penghasutannya tsb,pakar hukum saja tdk ada pelanggaran PSBB  yg dijerat hukum pidana hanya sanksi dendan,itupun sdh dibayar,klau diberlakukan karantina wilayah baru bisa diberikan sanksi pidana.",0,1342270802071150000
12/25/2020 7:46:00 AM,?????,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Belomm, di tempat hayati belom pernah buka samsek semenjak PSBB, jadi masih online lewat yutub, tp ibadah tdk ter… — wkwkwkwkw keren banget gak lo tuh. disini ada online juga tapi rasanya tuh kek kek ga dapet vibes nya gitu T_____T https://t.co/zDPZqdny4O",0,1342270484600160000
12/25/2020 7:42:00 AM,Semproel,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Beginilah bentuk badan gw klo lepas baju,dan selama pandemic,psbb 1 dan 2. Maybe ini udah naik 6-7kg dr yg sebelumnya. Ini mulai wo lg...sendiri. https://t.co/hu83uoyo0E",0,1342269393007380000
12/25/2020 7:40:00 AM,Sonny RS ??,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @Kel_KarKun: Lurah Kel Karet Kuningan Bapak Drs. H. Endang Efendi beserta jajarannya melaksanakan Giat Monitoring PSBB, Pengamanan Malam…",1,1342268854433550000
12/25/2020 7:34:00 AM,Khaldasyafaaa,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,Pengen kebandung hari ini soalnya minggu udh mulai psbb lg?,0,1342267552563490000
12/25/2020 7:16:00 AM,Pemprov DKI Jakarta,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"@al_fuji21 Yth. @al_fuji21 terima kasih atas pertanyaannya, sistem Ganjil Genap selama masa PSBB Transisi di DKI Jakarta Ditiadakan. Terima Kasih.",0,1342262840783080000
12/25/2020 7:14:00 AM,?Kidung$enj@?,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@katzenjammer89 dari awal sbnrnya cukup psbb, prokes dan pemenuhan nutrisi...tp kan yg dijargonkan beddaa....kerjo mangan masker...kerjo mangan masker...wess ngono tok....
mestinee...???",0,1342262477237620000
12/25/2020 7:12:00 AM,tan,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"@Bandungfess udah zona merah, psbb, banjir, tapi masih ada aja yang sempetin diri buat nongkrong ngopi bukannya berdoa sama tuhan ??",0,1342262013561500000
