"Created-At";"From-User";"Text";"Retweet-Count";"Id"
12/24/20 5:26 PM;"Iman Akmal";"Just pendapat peribadi aku nak tindakan diambil boleh tapi janganlah viral merata. Tengah musim covid ni pun kena fikir rezeki orang juga. Kalau kena buang mana lagi nak dpt kerja.";0;"1342053971943288833"
12/24/20 5:26 PM;"Biduri buLan 3869";"dr. Lii
sampai ditangkap polisi Wuhan.
makanya jgn bilang Covid apalagi corona.
#SARS2 https://t.co/pWYckEGovO";0;"1342053963483365376"
12/24/20 5:26 PM;"PresisiNews";"Satuan Tugas Penanganan Covid-19 mengeluarkan aturan mengenai Protokol Kesehatan selama Libur Hari Raya Natal dan Tahun Baru. https://t.co/XHzTxKTDG3";0;"1342053955388338176"
12/24/20 5:26 PM;"Corneliz De Oesman";"@IDNTimesBali @PutraWadapi Semoga Mr. Covid 19 menggigit mereka2 yang pada nilep uang Bansos yg notabene uang rakyat sampe mereka pada sekarat atau mereka tobat dan mengembalikan uang rakyat.";0;"1342053951835832326"
12/24/20 5:26 PM;"?";"Temen deket di kantor positif covid... & kemaren gw seharian ama dia terus......

Mari kita nonton naruto aja biar gak panik sambil nunggu kapan di swab??";0;"1342053929253683200"
12/24/20 5:26 PM;"W!";"RT @msianinsight: Majikan dikenakan tindakan jika gagal hantar pekerja asing ujian Covid-19 https://t.co/ebBHmSzLro";1;"1342053921628418048"
12/24/20 5:26 PM;"Dinas Kominfo Medan";"Update Data Pasien COVID-19 di Kota Medan
Kamis, 24 Desember 2020

Kunjungi link dibawah untuk informasi tentang Virus Corona (Covid-19) lebih lengkap di Kota Medan ??
https://t.co/mrORAkZbV7

Sumber : @bpbdkotamedan https://t.co/dnzc8TcAwA";0;"1342053917111111680"
12/24/20 5:25 PM;"SepatuJadulWarrior";"@KakekHalal Okoce solusi segala masalah guys, termasuk covid.. percaya deh";0;"1342053903131537412"
12/24/20 5:25 PM;"LIPUTAN4.COM";"Hasil Swab Keluar, Ustaz Haikal Hassan Negatif Covid-19 https://t.co/eb2XeAG8Rw";0;"1342053888904589313"
12/24/20 5:25 PM;"Free Malaysia Today";"Keseluruhan kes jangkitan COVID-19 melepasi 100,000 kes hari ini. #FMTNews #Covid19 #KKM  https://t.co/nKBOSiYm9x";1;"1342053884890476546"
12/24/20 5:25 PM;"Jerarudo";"RT @DGHisham: Kenyataan Akhbar KPK 24 Disember 2020 – Situasi Semasa Jangkitan Penyakit Coronavirus 2019 (COVID-19) di Malaysia https://t.c…";7;"1342053883032440837"
12/24/20 5:25 PM;"Pemko Medan";"Update Data Pasien COVID-19 di Kota Medan
Kamis, 24 Desember 2020

Kunjungi link dibawah untuk informasi tentang Virus Corona (Covid-19) lebih lengkap di Kota Medan ??
https://t.co/rfskp6Lm9K

Sumber : @bpbdkotamedan https://t.co/E3XKu1slZO";0;"1342053877412057089"
12/24/20 5:25 PM;"panggil mba ya, jangan mas!";"RT @bentarabumi: Manteman yang baik boleh bantu menyebarkan info ini? Terutama yang tinggal di Bandung.

Bapak dan ibu temanku positif COVI…";45;"1342053849163448322"
12/24/20 5:25 PM;"Suara Perak ??";"TERKINI: 1,581 kes baharu COVID-19 hari ini, termasuk 2 kes import. Perak rekodkan 26 kes baharu.

#SuaraPerak https://t.co/AUTCBn21Xf";0;"1342053840892280837"
12/24/20 5:25 PM;"atieyariffin";"RT @drzul_albakri: Kenyataan Media - Majlis Raja-Raja Terima Sembah Maklum Hukum Penggunaan Vaksin COVID-19, Dipersetujui Para Mufti di Mal…";2071;"1342053838660890627"
12/24/20 5:25 PM;"Munirah Hashim";"Alhamdulilah negative covid tapi positive comel ???";0;"1342053825188773889"
12/24/20 5:25 PM;"Vaneeya";"RT @sidikalangblend: Pak Jokowi menjadi yang pertama disuntik vaksin Covid-19
Saya juga mau di suntik vaksin setelah pak @jokowi
Kalau kamu…";3;"1342053813566414849"
12/24/20 5:25 PM;"????";"RT @akif_basri: What a year 2020 has been. 

Hampir setiap hari baca berita:

1. Kes Covid-19 naik
2. Cabul dan rogol
3. Pemandu mabuk
4. A…";1868;"1342053791122608130"
12/24/20 5:25 PM;"Laura";"RT @CNNIndonesia: #DataTerbaruCorona 
Dari 7.199 orang yang dinyatakan positif #covid19, 1.933 orang di antaranya berada di DKI Jakarta.

K…";3;"1342053754938408960"
12/24/20 5:25 PM;"Zharfan Zulkifli";"RT @pahang_media: Untuk makluman pihak Tuan/Puan, Pejabat Kesihatan Daerah Pekan sedang mengenalpasti kontak kepada kes Positif COVID-19 de…";48;"1342053748332347392"
12/24/20 5:25 PM;"Yayan Pratama";"RT @Brnrdljwrdi: Buat yang masih suka tawuran, daripada bawa senjata tajem mending bawa pasien covid aja biar pasien covidnya ludah'in musu…";35;"1342053734868611072"
12/24/20 5:25 PM;"theranger";"RT @AimanAfiff: Tahun ni tahun pertama aku tak fly pergi uk sebab covid. Tahun tahun before ni sebab tak mampu";63;"1342053734814162944"
12/24/20 5:25 PM;"Kalbar Online";"Dalam Sehari Covid-19 Tambah 7.199 Kasus, Meninggal 181 Jiwa https://t.co/eBY6YNyKPb";0;"1342053718167068672"
12/24/20 5:25 PM;"Kalbar Online";"Muncul 13 Kasus Covid-19 di Hotel Mewah Singapura, Nular Lewat Handuk https://t.co/7xeRNNd9po";0;"1342053716183162881"
12/24/20 5:25 PM;"Kalbar Online";"Legislator PKB Usulkan Gedung DPR/MPR Jadi RS Darurat Covid-19 https://t.co/YDVe0ZbfAm";0;"1342053713108758528"
12/23/20 1:18 PM;"PT. JASAMARGA";"Hallo Kawan JM

Patuhi protokol kesehatan untuk memutus penyebaran Covid-19, buat Kawan JM yang beraktivitas dimanapun dan kapanpun jangan lupa untuk 3M ya!

1. Memakai masker
2. Menjaga jarak
3. Mencuci tangan

Yuk bersama-sama kita cegah penyebaran Covid-19! https://t.co/uJ6Es5XTaZ";0;"1341629194636206080"
12/23/20 1:18 PM;"Balqis ??";"RT @ShaaAjis: Since I positive COVID-19 during 38 weeks pregnant, so this is my story, hampa boleh baca untuk baca pengalaman or ambil as i…";12095;"1341629191851130880"
12/23/20 1:18 PM;"Barzany W A";"RT @muhammadiyah: Meski rumah sakit Muhammadiyah merupakan bentuk pelayanan publik yang murni tidak mengejar keuntungan (non-profit), pemer…";359;"1341629161224302593"
12/23/20 1:18 PM;"Ayylaflu?";"RT @Riskhapsari: Kumpulan biaya dan lokasi Rapid Test Antigen COVID-19 pada rumah sakit, laboratorium, dan klinik di Yogyakarta

Silahkan j…";1011;"1341629156430237701"
